"R0000100","R0357900","R0358200","R0358300","R0358500","R0358700","R0359500","R0536300","R0536401","R0536402","R1235800","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
1165,0,-4,0,-4,-4,0,2,10,1983,1,4,3,-4,-4,-4,-4,470,470
1166,1,10,1,0,-4,1,2,1,1980,1,4,2,-4,-4,-4,-4,-4,-4
1167,1,10,1,5,3,0,1,1,1980,1,4,2,-4,-4,-4,-4,460,490
1168,1,15,1,2,2,0,1,6,1981,1,4,0,-4,-4,-4,-4,-4,-4
1169,0,-4,0,-4,-4,0,2,11,1983,1,4,3,-4,-4,-4,-4,380,370
1170,1,-4,1,0,-4,0,1,2,1981,1,4,4,-4,-4,-4,-4,680,690
1171,0,-4,0,-4,-4,0,1,2,1984,1,4,5,26,22,31,27,550,690
1172,0,-4,0,-4,-4,0,1,2,1981,1,4,2,-4,-4,-4,-4,200,340
1173,0,-4,0,-4,-4,0,2,5,1983,1,4,5,-4,-4,-4,-4,540,550
1174,0,-4,1,0,-4,0,1,3,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1175,0,-4,1,0,-4,0,2,1,1982,1,4,3,-4,-4,-4,-4,-4,-4
1176,0,-4,0,-4,-4,0,1,2,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1177,0,-4,0,-4,-4,0,2,7,1982,1,4,2,-4,-4,-4,-4,-4,-4
1178,1,-4,1,2,1,0,1,7,1982,1,4,3,-4,-4,-4,-4,590,680
1179,0,-4,0,-4,-4,0,1,8,1982,1,4,2,-4,-4,-4,-4,440,420
1180,0,-4,0,-4,-4,0,1,1,1984,1,4,1,-4,-4,-4,-4,-4,-4
1181,0,-4,0,-4,-4,0,2,8,1982,1,4,3,-4,-4,-4,-4,650,610
1182,1,-4,0,-4,-4,0,2,9,1980,1,4,3,-4,-4,-4,-4,-4,-4
1183,1,-4,1,2,0,0,1,5,1982,1,4,2,-4,-4,-4,-4,-4,-4
1184,1,25,1,10,3,1,1,6,1980,1,2,2,-4,-4,-4,-4,-4,-4
1185,1,3,1,25,1,0,1,5,1983,1,2,3,-4,-4,-4,-4,570,600
1186,1,-4,1,23,1,0,1,6,1980,1,4,3,-4,-4,-4,-4,520,580
1187,0,-4,0,-4,-4,0,2,4,1983,1,2,4,-4,-4,-4,-4,530,530
1188,0,-4,0,-4,-4,0,2,4,1983,1,4,4,-4,-4,-4,-4,530,530
1189,0,-4,0,-4,-4,0,1,3,1982,1,4,4,-4,-4,-4,-4,640,440
1190,1,6,1,4,0,1,2,7,1981,1,2,2,18,17,18,19,-4,-4
1191,0,-4,1,0,-4,0,1,11,1981,1,4,2,-4,-4,-4,-4,-4,-4
1192,1,18,1,10,10,0,1,2,1980,1,4,-3,-4,-4,-4,-4,-4,-4
1193,0,-4,1,0,-4,0,1,10,1982,1,4,2,-4,-4,-4,-4,-4,-4
1194,0,-4,0,-4,-4,0,2,11,1984,1,4,3,-4,-4,-4,-4,-4,-4
1195,1,20,1,0,-4,1,1,9,1981,1,4,1,-4,-4,-4,-4,-4,-4
1196,1,-4,1,0,-4,0,1,2,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1197,1,-4,0,-4,-4,0,2,7,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1198,1,7,1,0,-4,1,1,11,1980,1,4,3,-4,-4,-4,-4,-4,-4
1199,1,10,1,0,-4,0,1,3,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1200,1,6,1,2,1,1,2,8,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1201,1,0,0,-4,-4,1,1,2,1984,1,4,0,-4,-4,-4,-4,-4,-4
1202,0,-4,0,-4,-4,0,1,3,1981,1,1,2,-4,-4,-4,-4,-4,-4
1203,0,-4,0,-4,-4,0,2,2,1981,1,1,0,-4,-4,-4,-4,-4,-4
1204,0,-4,0,-4,-4,0,1,10,1983,1,1,-3,-4,-4,-4,-4,-4,-4
1205,0,-4,1,0,-4,1,2,10,1980,1,1,3,-4,-4,-4,-4,-4,-4
1206,1,-4,0,-4,-4,0,2,9,1984,1,1,1,-4,-4,-4,-4,-4,-4
1207,0,-4,0,-4,-4,0,1,3,1982,1,1,-3,-4,-4,-4,-4,-4,-4
1208,0,-4,0,-4,-4,0,1,8,1982,1,1,1,-4,-4,-4,-4,-4,-4
1209,0,-4,0,-4,-4,0,2,10,1983,1,1,2,-4,-4,-4,-4,-4,-4
1210,0,-4,1,0,-4,0,1,10,1983,1,1,2,-4,-4,-4,-4,-4,-4
1211,0,-4,0,-4,-4,0,1,3,1980,1,1,0,-4,-4,-4,-4,-4,-4
1212,0,-4,0,-4,-4,0,2,6,1983,1,1,-3,-4,-4,-4,-4,-4,-4
1213,1,-4,0,-4,-4,0,1,7,1984,1,1,0,-4,-4,-4,-4,-4,-4
1214,0,-4,0,-4,-4,0,1,9,1982,1,1,3,-4,-4,-4,-4,-4,-4
1215,1,-4,1,0,-4,0,1,8,1980,1,1,3,-4,-4,-4,-4,-4,-4
1216,0,-4,1,0,-4,0,2,8,1982,1,1,3,-4,-4,-4,-4,-4,-4
1217,0,-4,0,-4,-4,0,1,10,1981,1,1,0,-4,-4,-4,-4,-4,-4
1218,0,-4,0,-4,-4,0,1,9,1983,1,1,2,-4,-4,-4,-4,-4,-4
1219,0,-4,0,-4,-4,0,1,1,1984,1,1,-3,-4,-4,-4,-4,-4,-4
1220,0,-4,0,-4,-4,0,2,5,1981,1,1,1,-4,-4,-4,-4,-4,-4
1221,-1,-4,1,0,-4,0,1,4,1981,1,1,2,20,20,19,18,-4,-4
1222,1,-4,1,0,-4,0,1,10,1982,1,1,-3,-4,-4,-4,-4,-4,-4
1223,0,-4,1,0,-4,0,2,6,1980,1,1,3,20,20,19,22,-4,-4
1224,0,-4,0,-4,-4,0,1,7,1981,1,1,2,-4,-4,-4,-4,-4,-4
1225,0,-4,1,0,-4,0,2,11,1980,1,1,2,13,14,14,10,-4,-4
1226,0,-4,0,-4,-4,0,1,9,1980,1,1,3,18,14,15,22,-4,-4
1227,0,-4,0,-4,-4,0,2,9,1983,1,3,4,-4,-4,-4,-4,-4,-4
1228,0,-4,1,0,-4,0,1,2,1980,1,4,3,19,20,20,14,-4,-4
1229,0,-4,0,-4,-4,0,2,11,1984,1,4,2,-4,-4,-4,-4,-4,-4
1230,0,-4,1,0,-4,0,1,9,1984,1,4,2,27,27,20,31,-4,-4
1231,0,-4,0,-4,-4,0,1,10,1980,1,4,4,31,30,34,29,560,710
1232,0,-4,0,-4,-4,0,1,3,1983,1,4,3,24,25,21,26,-4,-4
1233,0,-4,0,-4,-4,0,1,11,1983,1,4,3,-4,-4,-4,-4,-4,-4
1234,0,-4,1,0,-4,0,1,11,1983,1,4,3,-4,-4,-4,-4,-4,-4
1235,0,-4,0,-4,-4,0,1,3,1983,1,4,4,-4,-4,-4,-4,-4,-4
1236,1,1,0,-4,-4,0,1,12,1982,1,4,1,-4,-4,-4,-4,-4,-4
1237,0,-4,0,-4,-4,0,1,2,1983,1,4,3,18,14,17,18,430,220
1238,0,-4,0,-4,-4,0,2,6,1983,1,4,2,-4,-4,-4,-4,-4,-4
1239,0,-4,0,-4,-4,0,1,4,1983,1,4,4,-4,-4,-4,-4,-4,-4
1240,1,2,1,0,-4,0,1,12,1982,1,4,3,19,17,17,20,-4,-4
1241,0,-4,0,-4,-4,0,2,10,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1242,0,-4,0,-4,-4,0,2,10,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1243,0,-4,0,-4,-4,0,2,9,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1244,0,-4,0,-4,-4,0,1,4,1981,1,4,4,25,25,26,27,600,560
1245,1,-4,1,0,-4,0,2,6,1980,1,4,3,20,22,20,20,-4,-4
1246,0,-4,0,-4,-4,0,2,1,1980,1,4,3,-4,-4,-4,-4,-4,-4
1247,0,-4,0,-4,-4,0,1,3,1982,1,4,4,32,27,34,33,-4,-4
1248,0,-4,0,-4,-4,0,2,3,1984,1,4,4,25,25,28,26,-4,-4
1249,1,1,1,1,0,0,2,3,1981,1,4,3,-4,-4,-4,-4,-4,-4
1250,1,0,1,2,0,0,1,9,1982,1,4,4,25,24,29,25,-4,-4
1251,0,-4,1,1,0,0,1,11,1981,1,4,4,26,26,27,24,-4,-4
1252,0,-4,1,0,-4,0,1,1,1982,1,2,3,-4,-4,-4,-4,-4,-4
1253,0,-4,0,-4,-4,0,2,6,1984,1,4,4,28,27,27,33,-4,-4
1254,0,-4,1,2,0,0,2,9,1982,1,4,4,30,26,31,28,-4,-4
1255,0,-4,0,-4,-4,0,1,2,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1256,0,-4,0,-4,-4,0,2,10,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1257,1,-4,1,0,-4,0,2,1,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1258,1,-4,1,0,-4,0,2,11,1982,1,4,2,-4,-4,-4,-4,-4,-4
1259,0,-4,0,-4,-4,1,1,10,1984,1,4,2,-4,-4,-4,-4,-4,-4
1260,1,12,1,0,-4,0,1,12,1983,1,4,1,-4,-4,-4,-4,-4,-4
1261,0,-4,1,0,-4,0,1,7,1981,1,4,57,-4,-4,-4,-4,-4,-4
1262,0,-4,0,-4,-4,0,1,9,1984,1,4,2,-4,-4,-4,-4,-4,-4
1263,1,-4,1,2,0,0,1,9,1982,1,4,3,-4,-4,-4,-4,-4,-4
1264,1,-4,0,-4,-4,0,1,6,1984,1,4,3,-4,-4,-4,-4,-4,-4
1265,1,12,1,2,0,0,2,3,1980,1,4,4,-4,-4,-4,-4,-4,-4
1266,1,3,1,2,1,1,2,9,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1267,0,-4,1,0,-4,0,1,6,1981,1,4,3,25,22,28,26,-4,-4
1268,0,-4,1,3,0,1,2,3,1980,1,4,2,-4,-4,-4,-4,-4,-4
1269,1,10,1,2,0,0,2,10,1981,1,4,2,-4,-4,-4,-4,-4,-4
1270,0,-4,0,-4,-4,0,1,11,1981,1,4,3,25,22,24,27,-4,-4
1271,1,-4,0,-4,-4,0,2,4,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1272,1,11,1,16,-2,0,1,1,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1273,1,-4,0,-4,-4,0,1,10,1980,1,4,2,-4,-4,-4,-4,-4,-4
1274,1,17,1,2,1,0,2,9,1980,1,4,1,-4,-4,-4,-4,-4,-4
1275,1,2,1,0,-4,0,2,1,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1276,0,-4,1,1,0,0,2,8,1980,1,4,2,18,19,16,21,-4,-4
1277,1,1,1,0,-4,0,1,7,1982,1,4,2,-4,-4,-4,-4,-4,-4
1278,0,-4,1,0,-4,0,1,1,1982,1,4,4,24,25,22,24,-4,-4
1279,0,-4,0,-4,-4,0,1,1,1982,1,4,4,26,23,28,26,-4,-4
1280,1,-4,0,-4,-4,0,1,11,1982,1,2,-4,-4,-4,-4,-4,-4,-4
1281,0,-4,0,-4,-4,0,1,1,1984,1,4,4,22,20,26,21,-4,-4
1282,0,-4,1,2,1,0,2,3,1981,1,4,3,-4,-4,-4,-4,-4,-4
1283,0,-4,0,-4,-4,0,1,9,1983,1,4,3,-4,-4,-4,-4,-4,-4
1284,1,8,1,1,0,0,1,5,1981,1,4,0,-4,-4,-4,-4,-4,-4
1285,0,-4,1,2,0,0,2,7,1981,1,4,3,15,15,18,13,-4,-4
1286,0,-4,0,-4,-4,0,1,2,1983,1,4,4,24,23,23,23,530,560
1287,0,-4,0,-4,-4,0,1,11,1982,1,4,2,-4,-4,-4,-4,-4,-4
1288,0,-4,0,-4,-4,0,1,3,1983,1,4,3,23,20,26,22,510,580
1289,0,-4,1,0,-4,0,1,3,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1290,1,-4,0,-4,-4,0,2,10,1981,1,4,-3,24,25,22,24,-4,-4
1291,1,-4,1,0,-4,0,1,5,1980,1,4,3,22,23,21,23,-4,-4
1292,1,-4,0,-4,-4,0,2,7,1982,1,4,2,14,16,16,9,-4,-4
1293,1,10,1,1,1,0,1,11,1981,1,4,2,-4,-4,-4,-4,-4,-4
1294,0,-4,0,-4,-4,1,1,5,1984,1,4,2,-4,-4,-4,-4,-4,-4
1295,0,-4,1,2,0,0,2,1,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1296,0,-4,0,-4,-4,0,2,4,1983,1,1,4,27,26,28,28,-4,-4
1297,0,-4,1,0,-4,0,1,11,1980,1,4,3,18,20,19,15,-4,-4
1298,1,10,0,-4,-4,0,1,9,1981,1,1,1,-4,-4,-4,-4,-4,-4
1299,0,-4,0,-4,-4,0,1,12,1982,1,4,2,14,10,13,11,-4,-4
1300,0,-4,0,-4,-4,0,1,4,1984,1,4,3,22,24,20,21,-4,-4
1301,0,-4,1,0,-4,0,1,9,1984,1,4,3,19,19,17,15,-4,-4
1302,1,0,0,-4,-4,0,2,7,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1303,0,-4,0,-4,-4,0,2,9,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1304,0,-4,1,2,0,0,1,3,1980,1,4,4,-4,-4,-4,-4,-4,-4
1305,0,-4,1,0,-4,0,1,11,1981,1,4,4,-4,-4,-4,-4,-4,-4
1306,0,-4,1,1,0,0,2,6,1981,1,4,3,-4,-4,-4,-4,-4,-4
1307,0,-4,0,-4,-4,0,2,5,1984,1,4,3,21,19,19,22,-4,-4
1308,0,-4,0,-4,-4,0,2,10,1983,1,4,4,28,30,27,28,-4,-4
1309,1,-4,1,12,3,0,2,3,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1310,1,20,1,5,2,1,1,4,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1311,1,4,1,0,-4,0,2,6,1980,1,4,2,16,17,15,14,-4,-4
1312,1,1,1,1,1,0,2,11,1980,1,4,3,-4,-4,-4,-4,-4,-4
1313,0,-4,0,-4,-4,0,2,1,1983,1,4,4,24,25,26,21,520,520
1314,0,-4,1,1,0,0,2,8,1982,1,4,4,20,20,19,21,-4,-4
1315,0,-4,0,-4,-4,0,2,4,1980,1,4,2,-4,-4,-4,-4,-4,-4
1316,0,-4,0,-4,-4,0,2,5,1983,1,4,3,17,19,15,16,-4,-4
1317,0,-4,1,0,-4,0,2,2,1982,1,4,3,16,16,17,12,-4,-4
1318,0,-4,0,-4,-4,0,1,11,1984,1,4,2,-4,-4,-4,-4,-4,-4
1319,0,-4,0,-4,-4,0,2,9,1984,1,4,3,-4,-4,-4,-4,-4,-4
1320,1,10,1,10,5,0,1,7,1980,1,4,2,-4,-4,-4,-4,-4,-4
1321,1,6,1,0,-4,0,1,10,1982,1,4,2,-4,-4,-4,-4,-4,-4
1322,1,-4,0,-4,-4,1,2,10,1982,1,4,4,30,29,27,35,650,570
1323,0,-4,0,-4,-4,0,1,7,1984,1,2,3,-4,-4,-4,-4,-4,-4
1324,0,-4,0,-4,-4,0,2,6,1980,1,1,-3,-4,-4,-4,-4,-4,-4
1325,0,-4,0,-4,-4,0,2,10,1982,1,1,4,22,22,22,24,500,510
1326,1,-4,1,0,-4,0,1,2,1983,1,4,66,-4,-4,-4,-4,-4,-4
1327,1,-4,0,-4,-4,1,2,12,1981,1,4,-3,-4,-4,-4,-4,-4,-4
1328,1,-4,1,0,-4,1,2,10,1980,1,1,81,-4,-4,-4,-4,400,430
1329,1,1,1,1,1,0,2,3,1981,1,2,-3,-4,-4,-4,-4,-4,-4
1330,1,-4,1,0,-4,0,2,3,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1331,0,-4,0,-4,-4,0,2,7,1983,1,4,91,22,22,21,21,-4,-4
1332,1,-4,1,1,0,0,1,2,1980,1,4,87,-4,-4,-4,-4,520,540
1333,0,-4,0,-4,-4,0,2,9,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1334,1,2,1,15,10,0,2,9,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1335,1,-4,1,3,1,0,1,12,1980,1,4,90,-4,-4,-4,-4,510,670
1336,0,-4,0,-4,-4,0,1,6,1984,1,4,93,-4,-4,-4,-4,560,690
1337,0,-4,0,-4,-4,0,2,11,1982,1,4,94,23,22,25,21,480,520
1338,0,-4,0,-4,-4,0,2,10,1981,1,4,4,-4,-4,-4,-4,700,660
1339,1,-4,0,-4,-4,0,1,3,1981,1,4,-3,-4,-4,-4,-4,-4,-4
1340,0,-4,0,-4,-4,0,2,11,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1341,0,-4,0,-4,-4,0,1,1,1983,1,4,84,24,20,23,27,560,560
1342,0,-4,0,-4,-4,0,1,3,1980,1,4,-3,-4,-4,-4,-4,410,470
1343,1,10,1,15,15,1,1,12,1980,1,4,-3,-4,-4,-4,-4,-4,-4
1344,1,-4,0,-4,-4,1,2,10,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1345,0,-4,1,1,0,0,2,1,1980,1,1,4,20,20,16,22,-4,-4
1346,0,-4,0,-4,-4,0,1,11,1983,1,1,-4,-4,-4,-4,-4,-4,-4
1347,0,-4,1,0,-4,0,2,1,1983,1,4,-3,29,27,26,35,700,560
1348,0,-4,0,-4,-4,0,1,12,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1349,1,-4,0,-4,-4,0,1,9,1983,1,4,3,-4,-4,-4,-4,-4,-4
1350,0,-4,0,-4,-4,0,2,11,1983,1,2,-4,-4,-4,-4,-4,-4,-4
1351,0,-4,0,-4,-4,0,1,11,1981,1,2,3,-4,-4,-4,-4,-4,-4
1352,0,-4,0,-4,-4,0,1,5,1983,1,2,-3,-4,-4,-4,-4,-4,-4
1353,0,-4,0,-4,-4,0,1,8,1984,1,2,-4,-4,-4,-4,-4,-4,-4
1354,0,-4,0,-4,-4,1,2,7,1980,1,2,-4,-4,-4,-4,-4,-4,-4
1355,0,-4,0,-4,-4,0,2,11,1981,1,2,-4,-4,-4,-4,-4,-4,-4
1356,0,-4,0,-4,-4,0,2,5,1981,1,2,-3,-4,-4,-4,-4,-4,-4
1357,0,-4,0,-4,-4,0,2,10,1982,1,2,3,15,14,15,16,450,300
1358,0,-4,0,-4,-4,0,2,8,1984,1,2,3,-4,-4,-4,-4,-4,-4
1359,0,-4,0,-4,-4,1,1,5,1981,1,1,1,-4,-4,-4,-4,220,320
1360,1,-4,0,-4,-4,0,1,7,1981,1,2,-4,-4,-4,-4,-4,-4,-4
1361,0,-4,0,-4,-4,0,1,11,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1362,1,8,1,1,0,0,2,7,1980,1,4,1,-4,-4,-4,-4,-4,-4
1363,1,4,1,0,-4,0,1,3,1981,1,2,-4,-4,-4,-4,-4,-4,-4
1364,1,-4,1,0,-4,0,1,12,1980,1,4,4,-4,-4,-4,-4,-4,-4
1365,0,-4,0,-4,-4,0,1,7,1982,1,2,-4,-4,-4,-4,-4,-4,-4
1366,0,-4,1,12,5,0,1,3,1980,1,2,6,18,17,16,22,560,440
1367,0,-4,0,-4,-4,0,1,2,1984,1,4,100,-4,-4,-4,-4,730,660
1368,0,-4,0,-4,-4,0,2,12,1982,1,2,-4,-4,-4,-4,-4,-4,-4
1369,1,-4,1,1,1,1,2,9,1981,1,4,4,-4,-4,-4,-4,530,550
1370,0,-4,0,-4,-4,0,2,3,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1371,0,-4,0,-4,-4,0,1,10,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1372,0,-4,0,-4,-4,0,2,8,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1373,0,-4,1,0,-4,0,1,8,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1374,1,2,0,-4,-4,0,1,5,1982,1,4,-3,-4,-4,-4,-4,-4,-4
1375,0,-4,0,-4,-4,0,2,12,1984,1,4,3,-4,-4,-4,-4,-4,-4
1376,0,-4,0,-4,-4,0,1,4,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1377,0,-4,0,-4,-4,0,1,3,1984,1,4,2,-4,-4,-4,-4,-4,-4
1378,0,-4,1,0,-4,1,1,6,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1379,0,-4,0,-4,-4,0,2,8,1984,1,4,3,-4,-4,-4,-4,-4,-4
1380,0,-4,0,-4,-4,0,2,2,1980,1,4,1,-4,-4,-4,-4,-4,-4
1381,0,-4,1,0,-4,0,1,9,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1382,1,-4,1,0,-4,0,1,4,1984,1,4,-3,-4,-4,-4,-4,-4,-4
1383,1,10,1,0,-4,0,1,12,1982,1,4,-3,-4,-4,-4,-4,-4,-4
1384,1,1,1,5,5,0,2,10,1983,1,4,2,-4,-4,-4,-4,-4,-4
1385,1,-4,1,2,0,1,2,9,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1386,0,-4,0,-4,-4,0,2,9,1981,1,2,-4,-4,-4,-4,-4,-4,-4
1387,0,-4,0,-4,-4,0,2,9,1982,1,2,-4,-4,-4,-4,-4,-4,-4
1388,0,-4,0,-4,-4,0,2,8,1984,1,2,-4,-4,-4,-4,-4,-4,-4
1389,1,4,0,-4,-4,0,2,2,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1390,1,-4,0,-4,-4,0,1,3,1982,1,4,3,-4,-4,-4,-4,-4,-4
1391,1,-4,0,-4,-4,0,2,7,1980,1,2,-4,-4,-4,-4,-4,-4,-4
1392,0,-4,0,-4,-4,1,2,7,1980,1,2,-4,-4,-4,-4,-4,-4,-4
1393,0,-4,0,-4,-4,0,2,7,1984,1,2,1,-4,-4,-4,-4,-4,-4
1394,0,-4,0,-4,-4,0,1,2,1984,1,1,-4,-4,-4,-4,-4,-4,-4
1395,0,-4,0,-4,-4,0,1,8,1983,1,1,-4,-4,-4,-4,-4,-4,-4
1396,0,-4,0,-4,-4,0,1,11,1984,1,1,-4,-4,-4,-4,-4,-4,-4
1397,0,-4,0,-4,-4,1,1,4,1982,1,1,-4,-4,-4,-4,-4,-4,-4
1398,0,-4,0,-4,-4,0,2,7,1980,1,1,-4,-4,-4,-4,-4,-4,-4
1399,0,-4,0,-4,-4,0,2,10,1984,1,1,3,-4,-4,-4,-4,-4,-4
1400,0,-4,0,-4,-4,0,1,7,1980,1,1,3,-4,-4,-4,-4,-4,-4
1401,0,-4,1,10,0,0,1,7,1983,1,1,2,-4,-4,-4,-4,-4,-4
1402,0,-4,0,-4,-4,0,1,9,1983,1,4,92,-4,-4,-4,-4,-4,-4
1403,0,-4,0,-4,-4,0,2,6,1981,1,4,-4,-4,-4,-4,-4,-4,-4
1404,0,-4,0,-4,-4,0,1,6,1983,1,4,-4,-4,-4,-4,-4,-4,-4
1405,0,-4,1,0,-4,0,1,3,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1406,0,-4,0,-4,-4,0,1,11,1983,1,4,4,28,30,23,35,760,610
1407,0,-4,0,-4,-4,0,1,11,1983,1,4,3,-4,-4,-4,-4,400,450
1408,1,1,1,7,4,0,1,3,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1409,1,15,1,0,-4,0,1,2,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1410,1,2,1,5,0,1,2,5,1980,1,4,6,-4,-4,-4,-4,-4,-4
1411,1,-4,1,0,-4,0,2,5,1980,1,4,8,-4,-4,-4,-4,520,510
1412,0,-4,0,-4,-4,0,2,6,1982,1,4,3,22,22,23,22,480,480
1413,0,-4,1,0,-4,0,2,8,1984,1,2,3,-4,-4,-4,-4,-4,-4
1414,1,3,1,3,0,0,2,7,1982,1,4,-3,-4,-4,-4,-4,390,370
1415,1,-4,1,0,-4,0,2,10,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1416,1,-4,1,1,0,0,2,8,1982,1,4,89,-4,-4,-4,-4,-4,-4
1417,0,-4,0,-4,-4,0,1,2,1983,1,4,-3,-4,-4,-4,-4,-4,-4
1418,0,-4,0,-4,-4,0,1,11,1983,1,4,-3,-4,-4,-4,-4,-4,-4
1419,0,-4,0,-4,-4,0,2,8,1982,1,4,81,-4,-4,-4,-4,-4,-4
1420,0,-4,0,-4,-4,0,2,8,1982,1,4,86,-4,-4,-4,-4,-4,-4
1421,0,-4,0,-4,-4,0,1,6,1983,1,4,4,-4,-4,-4,-4,-4,-4
1422,1,-4,1,0,-4,0,2,7,1982,1,1,3,-4,-4,-4,-4,440,420
1423,0,-4,0,-4,-4,0,2,1,1983,1,1,3,15,14,15,17,360,370
1424,-1,-4,-1,-4,-4,-1,2,7,1983,1,1,-4,-4,-4,-4,-4,-4,-4
1425,1,0,1,2,2,0,1,3,1981,1,1,2,-4,-4,-4,-4,-4,-4
1426,-1,-4,1,5,-1,0,1,10,1982,1,1,-3,-4,-4,-4,-4,-4,-4
1427,0,-4,0,-4,-4,0,2,6,1984,1,1,0,-4,-4,-4,-4,-4,-4
1428,1,-2,1,-2,-2,0,2,3,1980,1,1,-4,-4,-4,-4,-4,-4,-4
1429,1,-4,1,2,2,0,2,3,1981,1,4,3,-4,-4,-4,-4,-4,-4
1430,0,-4,1,0,-4,0,2,12,1982,1,4,4,-4,-4,-4,-4,430,580
1431,0,-4,0,-4,-4,1,1,6,1980,1,4,3,15,17,13,13,380,300
1432,1,-4,1,0,-4,0,2,7,1982,1,4,3,20,20,17,23,450,370
1433,0,-4,0,-4,-4,0,2,9,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1434,0,-4,0,-4,-4,0,1,6,1980,1,4,4,26,22,30,27,600,620
1435,0,-4,0,-4,-4,0,1,10,1982,1,4,1,-4,-4,-4,-4,-4,-4
1436,1,-4,1,2,0,0,2,2,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1437,1,-4,1,0,-4,1,2,4,1980,1,4,-4,-4,-4,-4,-4,-4,-4
1438,0,-4,0,-4,-4,0,2,5,1982,1,4,4,-4,-4,-4,-4,630,600
1439,1,1,1,4,5,1,1,4,1983,1,4,1,-4,-4,-4,-4,-4,-4
1440,0,-4,0,-4,-4,0,2,4,1981,1,4,4,25,27,21,26,540,540
1441,1,-4,1,0,-4,1,1,5,1980,1,4,3,-4,-4,-4,-4,-4,-4
1442,1,-4,0,-4,-4,0,2,7,1981,1,4,3,-4,-4,-4,-4,450,430
1443,1,2,1,0,-4,0,1,1,1983,1,4,1,-4,-4,-4,-4,-4,-4
1444,1,-4,0,-4,-4,0,2,2,1981,1,4,2,-4,-4,-4,-4,540,420
1445,0,-4,1,0,-4,0,2,1,1982,1,4,3,-4,-4,-4,-4,-4,-4
1446,0,-4,0,-4,-4,0,1,10,1984,1,4,-4,-4,-4,-4,-4,-4,-4
1447,1,-4,1,0,-4,0,1,10,1983,1,4,4,-4,-4,-4,-4,610,650
1448,1,4,1,1,3,1,2,12,1982,1,4,-4,-4,-4,-4,-4,-4,-4
1449,0,-4,0,-4,-4,0,1,8,1980,1,4,3,-4,-4,-4,-4,-4,-4
1450,0,-4,0,-4,-4,0,2,9,1981,1,4,4,-4,-4,-4,-4,760,760
1451,0,-4,0,-4,-4,0,2,9,1981,1,4,3,-4,-4,-4,-4,-4,-4
1452,1,-4,1,3,0,0,1,3,1983,1,2,-4,-4,-4,-4,-4,-4,-4
1453,0,-4,1,1,0,0,2,11,1981,1,4,3,-4,-4,-4,-4,650,630
1454,0,-4,1,0,-4,0,2,4,1981,1,4,4,-4,-4,-4,-4,750,660
1455,0,-4,0,-4,-4,0,1,10,1983,1,4,4,-4,-4,-4,-4,660,640
1456,1,-4,1,0,-4,0,1,4,1980,1,4,3,-4,-4,-4,-4,570,590
1457,0,-4,1,0,-4,0,1,3,1983,1,4,4,-4,-4,-4,-4,570,660
