"R0000100","R0070400","R0070500","R0071000","R0357900","R0358100","R0358300","R0358500","R0358900","R0359100","R0536300","R0536401","R0536402","R1204700","R1205300","R1235800","R1302400","R1302500","R1302600","R1302700","R1482600","R9792900","R9793400","R9793500","R9793600","R9793700","R9793800","R9793900"
8146,1,1,1,0,-4,0,-4,0,-4,2,12,1984,-4,1,0,12,12,12,12,1,2,-4,-4,-4,-4,-4,-4
8147,2,2,3,1,0,0,-4,0,-4,2,12,1982,500,4,0,-4,10,-4,10,1,2,-4,-4,-4,-4,-4,-4
8148,5,1,-2,1,0,1,2,1,0,1,1,1980,17963,4,0,-3,13,-4,13,1,-4,-4,-4,-4,-4,-4,-4
8149,3,2,2,1,0,1,0,1,0,1,8,1981,-3,1,0,14,16,14,16,1,2,-4,-4,-4,-4,480,330
8150,4,4,4,0,-4,0,-4,0,-4,1,9,1980,41500,4,0,-4,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8151,4,4,3,0,-4,0,-4,0,-4,1,8,1981,41500,4,0,-4,12,-4,12,1,-4,-4,-4,-4,-4,-4,-4
8152,1,1,1,0,-4,0,-4,0,-4,1,8,1983,46500,1,0,-3,-3,-3,-3,1,2,-4,-4,-4,-4,440,380
8153,1,1,1,0,-4,0,-4,0,-4,1,8,1983,46500,1,0,-3,-3,-3,-3,1,2,-4,-4,-4,-4,460,340
8154,2,2,1,0,-4,1,0,0,-4,1,8,1982,-3,1,0,-3,-3,-3,-3,1,-3,-4,-4,-4,-4,-4,-4
8155,1,1,1,0,-4,1,2,0,-4,2,1,1983,500,1,0,9,8,9,8,2,-4,-4,-4,-4,-4,-4,-4
